stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,drugs_related_stop,year
2007-06-23,2023-09-14 17:41:00,M,86,White,Speeding,False,Citation,False,False,2007
2007-07-21,2023-09-14 22:34:00,M,86,White,Speeding,False,Citation,False,False,2007
2007-10-10,2023-09-14 07:28:00,M,86,White,Speeding,False,Citation,False,False,2007
2008-06-01,2023-09-14 17:37:00,M,86,White,Speeding,False,Citation,False,False,2008
2008-07-11,2023-09-14 10:20:00,M,86,White,Speeding,False,Citation,False,False,2008
2008-10-06,2023-09-14 01:34:00,M,86,White,Speeding,False,Citation,False,False,2008
2009-02-16,2023-09-14 10:47:00,M,86,White,Speeding,False,Citation,False,False,2009
2009-05-13,2023-09-14 18:14:00,F,86,White,Speeding,False,Citation,False,False,2009
2010-01-21,2023-09-14 14:00:00,F,86,White,Speeding,False,Citation,False,False,2010
2010-05-02,2023-09-14 09:09:00,M,86,White,Speeding,False,Citation,False,False,2010
2010-06-07,2023-09-14 14:10:00,F,86,White,Speeding,False,Citation,False,False,2010
2010-07-20,2023-09-14 11:08:00,M,86,White,Speeding,False,Citation,False,False,2010
2011-01-29,2023-09-14 11:07:00,M,86,White,Speeding,False,Citation,False,False,2011
2011-05-22,2023-09-14 12:07:00,M,86,White,Speeding,False,Warning,False,False,2011
2011-07-08,2023-09-14 15:55:00,M,86,Black,Speeding,False,Citation,False,False,2011
2012-03-03,2023-09-14 01:04:00,M,86,White,Speeding,False,Citation,False,False,2012
2012-03-26,2023-09-14 14:17:00,F,86,White,Speeding,False,Warning,False,False,2012
2012-10-13,2023-09-14 11:56:00,M,86,White,Speeding,False,Citation,False,False,2012
2013-03-03,2023-09-14 09:11:00,M,86,White,Speeding,False,Warning,False,False,2013
2013-11-19,2023-09-14 08:58:00,M,86,White,Speeding,False,Citation,False,False,2013
2014-01-06,2023-09-14 18:36:00,M,86,White,Speeding,False,Citation,False,False,2014
2014-01-15,2023-09-14 10:39:00,M,86,White,Speeding,False,Citation,False,False,2014
2014-03-01,2023-09-14 13:20:00,M,86,White,Speeding,False,Citation,False,False,2014
2015-04-11,2023-09-14 13:08:00,M,86,White,Speeding,False,Citation,False,False,2015
2005-10-02,2023-09-14 07:55:00,M,85,White,Speeding,False,Citation,False,False,2005
2005-10-27,2023-09-14 13:22:00,M,85,White,Speeding,False,Citation,False,False,2005
2005-12-03,2023-09-14 16:30:00,M,85,Black,Speeding,False,Citation,False,False,2005
2005-12-06,2023-09-14 16:20:00,F,85,White,Speeding,False,Citation,False,False,2005
2005-12-21,2023-09-14 23:30:00,F,85,White,Speeding,False,Citation,False,False,2005
2006-02-02,2023-09-14 15:35:00,F,85,White,Speeding,False,Citation,False,False,2006
2006-04-14,2023-09-14 09:15:00,M,85,White,Speeding,False,Warning,False,False,2006
2006-04-14,2023-09-14 12:15:00,M,85,White,Speeding,False,Citation,False,False,2006
2006-04-26,2023-09-14 07:07:00,M,85,White,Speeding,False,Citation,False,False,2006
2006-06-21,2023-09-14 10:50:00,M,85,White,Speeding,False,Citation,False,False,2006
2006-08-18,2023-09-14 20:34:00,M,85,White,Speeding,False,Citation,False,False,2006
2006-12-03,2023-09-14 00:35:00,M,85,White,Speeding,False,Citation,False,False,2006
2007-01-03,2023-09-14 15:30:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-01-09,2023-09-14 09:50:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-04-15,2023-09-14 09:00:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-06-02,2023-09-14 21:12:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-06-07,2023-09-14 13:40:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-06-11,2023-09-14 13:18:00,F,85,White,Speeding,False,Citation,False,False,2007
2007-06-26,2023-09-14 17:51:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-08-17,2023-09-14 07:17:00,F,85,Asian,Speeding,False,Citation,False,False,2007
2007-09-04,2023-09-14 00:04:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-09-20,2023-09-14 10:21:00,M,85,White,Speeding,False,Citation,False,False,2007
2007-11-15,2023-09-14 11:59:00,M,85,White,Speeding,False,Citation,False,False,2007
2008-01-05,2023-09-14 10:24:00,F,85,White,Speeding,False,Citation,False,False,2008
2008-02-08,2023-09-14 13:49:00,M,85,White,Speeding,False,Citation,False,False,2008
2008-03-14,2023-09-14 19:23:00,M,85,White,Speeding,False,Citation,False,False,2008
2008-03-24,2023-09-14 06:31:00,M,85,White,Speeding,False,Citation,False,False,2008
2008-04-17,2023-09-14 14:35:00,M,85,White,Speeding,False,Citation,False,False,2008
2008-08-17,2023-09-14 18:20:00,M,85,White,Speeding,False,Citation,False,False,2008
2008-09-02,2023-09-14 11:13:00,F,85,White,Speeding,False,Citation,False,False,2008
2008-11-07,2023-09-14 07:02:00,M,85,White,Speeding,False,Citation,False,False,2008
2009-02-14,2023-09-14 15:51:00,M,85,White,Speeding,False,Citation,False,False,2009
2009-07-15,2023-09-14 13:45:00,M,85,White,Speeding,False,Citation,False,False,2009
2010-06-20,2023-09-14 08:40:00,M,85,White,Speeding,False,Citation,False,False,2010
2010-10-14,2023-09-14 00:49:00,F,85,White,Speeding,False,Citation,False,False,2010
2010-10-18,2023-09-14 07:54:00,M,85,White,Speeding,False,Citation,False,False,2010
2010-11-11,2023-09-14 14:44:00,M,85,Black,Speeding,False,Citation,False,False,2010
2011-05-13,2023-09-14 09:43:00,M,85,White,Speeding,False,Citation,False,False,2011
2011-05-17,2023-09-14 13:51:00,M,85,White,Speeding,False,Citation,False,False,2011
2011-06-29,2023-09-14 09:45:00,M,85,White,Speeding,False,Citation,False,False,2011
2012-08-20,2023-09-14 15:00:00,F,85,White,Speeding,False,Citation,False,False,2012
2012-10-09,2023-09-14 03:32:00,M,85,Other,Speeding,False,Citation,False,False,2012
2014-02-08,2023-09-14 11:33:00,F,85,White,Speeding,False,Citation,False,False,2014
2014-07-12,2023-09-14 15:10:00,M,85,White,Speeding,False,Citation,False,False,2014
2014-07-31,2023-09-14 15:33:00,F,85,White,Speeding,False,Citation,False,False,2014
2015-01-28,2023-09-14 15:45:00,M,85,White,Speeding,False,Citation,False,False,2015
2015-07-10,2023-09-14 14:00:00,M,85,White,Speeding,False,Citation,False,False,2015
2015-09-12,2023-09-14 19:07:00,M,85,White,Speeding,False,Citation,False,False,2015
2005-10-20,2023-09-14 03:20:00,M,84,White,Speeding,False,Citation,False,False,2005
2005-11-15,2023-09-14 20:55:00,M,84,White,Speeding,False,Citation,False,False,2005
2005-11-25,2023-09-14 11:23:00,M,84,Black,Speeding,False,Citation,False,False,2005
2005-12-03,2023-09-14 12:30:00,F,84,White,Speeding,False,Citation,False,False,2005
